"Part","ID","Type","Question","Example cases","Current state","Answer","Owner","Task/ADR"
"A - Purpose","A1","Purpose","If the AI could do only ONE thing well, what is it?","Cut chiller energy cost | Catch faults/degradation early (before failure) | Speed up root-cause investigation | Speed up shift handover/briefing | Be a credibility/demo asset to win next facility","","","",""
"A - Purpose","A2","Purpose","What are the top 5 questions operators actually ask about the plant today? (capture verbatim - become modes, tools, eval cases)","why is chiller 2 using more power? | which chiller should run as lead? | is anything about to fail? | what did the night shift miss? | are we within efficiency target this week?","","","",""
"A - Purpose","A3","Purpose","What's the worst outcome if the AI is confidently WRONG?","Operator acts on bad recommendation (needless service call / wrong setpoint) | Trust collapses, nobody uses it | A real fault is missed because AI said 'all fine'","","","",""
"A - Purpose","A4","Purpose","How should the AI sound, and in what language(s)?","Terse one-liners (operators) vs explanatory paragraphs (engineers) | English-only (enforced today) - final or multilingual later?","English-only enforced","","",""
"A - Purpose","A5","Purpose (DEFINING)","Advisory only, or should the AI eventually ACT?","A - Advisory only: reads data, writes advice, no writes (current) | B - Soft actions w/ approval: drafts WO/ticket/alert, human approves | C - Operator-applied: AI suggests setpoint, operator applies in BMS | D - Closed-loop: AI writes setpoints directly (out of scope/unsafe)","A (advisory)","","",""
"B - Requirement","B1","Requirement","How non-technical is the LEAST technical user?","Types clean English -> light NL | Types typos/shorthand -> need fuzzy matching | Barely types -> need presets/buttons","","","",""
"B - Requirement","B2","Requirement","Should the agent reason freely or follow guided playbooks?","Free ReAct (current): LLM picks tools any order - flexible, can wander | Guided playbook: if anomaly -> root_cause path else brief - predictable, rigid","Free ReAct","","",""
"B - Requirement","B3","Requirement","Is 'every claim cited + numbers provably correct' a HARD gate or best-effort?","Hard gate -> build LLM-as-judge + numeric reference check | Best-effort -> current postchecks enough","","","",""
"B - Requirement","B4","Requirement","How much of the AI's reasoning should operators SEE?","Full live tool trace + audit flags (engineers) | Just the answer, trace hidden (operators) | Confidence level stated on uncertain answers","","","",""
"B - Requirement","B5","Requirement","Is open-source-only firm, with no exceptions ever?","Firm - data never leaves the building (current mandate) | Open to Azure OpenAI Private Endpoint if data stays in tenant","OSS-only mandate","","",""
"B - Requirement","B6","Requirement","What GPU and how many concurrent operators?","1 box (RTX 4080/4090), 1-3 users -> Ollama fine (current) | 10+ users -> vLLM justified | Server GPU (A100) -> bigger models + fine-tuning","Ollama, single box","","",""
"B - Requirement","B7","Requirement","What's the pass bar before a build is 'trustable'?","Green eval + demo (current POC bar) | Domain expert reviews N real answers + signs off | Numeric answers provably correct","27/27 eval + smoke","","",""
"B - Requirement","B8","Requirement","What answer latency is acceptable, and degraded-mode expectation?","Streaming makes ~30s fine (current) | Hard <10s -> reduce steps / right-size / vLLM | On outage: clear 'model unavailable' vs must alert someone","circuit breaker + banner","","",""
"B - Requirement","B9","Requirement (Security)","What malicious / adversarial inputs must the AI resist?","Prompt injection ('ignore your rules') | Jailbreak to unsafe/off-topic | Malformed NL->SQL reading other tables | Trusted LAN tool (low threat) vs many users (harden)","T1/T2 guardrails","","",""
"B - Requirement","B10","Requirement","What must the AI REFUSE or defer to a human?","Anything it can't ground in data (refuse vs guess) | Safety-critical/regulatory advice -> defer to expert | Out-of-domain questions | Any action beyond A5 ceiling","premise verification","","",""
"B - Requirement","B11","Requirement (Data)","What data can the AI see, how fresh, is any sensitive?","Sources: telemetry only or also tariffs/maintenance/schedule? | Freshness: real-time 1-min vs batched 15-min (say 'as of HH:MM') | Sensitive/PII never in prompt? | Bad data to defend (stuck sensors, unit mismatch, clock skew)","telemetry + KB; TR<10 filter","","",""
"B - Requirement","B12","Requirement (Scope)","Equipment & domain scope, and are benchmarks agreed?","Central chiller plant: 2 chillers+tower+pump (current) | Add AHUs/FCUs/pumps/VFDs/boilers | Whole-facility energy | Are kW/TR design values & bands confirmed by facility?","2 chillers+tower+pump","","",""
"B - Requirement","B13","Requirement (Governance)","Who can change prompts/models, and how to roll back?","Prompt change control: anyone vs reviewed + version pin | Model update: who owns ollama pull, re-runs eval | Rollback path on regression","git-versioned prompts","","",""
"C - Enhancement","C1","Enhancement","Which NEW tools should the agent get? (rank)","Cost/tariff (kWh->INR) - need tariff data? | Weather/ambient (wet-bulb -> tower approach) | Maintenance-history - need CMMS/log | Forecast (expose existing forecaster) | Production-schedule (explains load swings)","6 read-only tools today","","",""
"C - Enhancement","C2","Enhancement","What documents should the AI cite, in what formats, who maintains?","Curated markdown playbooks (current) | OEM manuals (PDF)/O&M (Word) | SharePoint/Confluence wiki -> connector+auth","markdown via pgvector","","",""
"C - Enhancement","C3","Enhancement","How long should the AI remember; is cross-session memory worth it?","Session-only (current) | Prior findings per equipment across sessions | Operator preferences (INR vs kWh, terse vs verbose)","session memory","","",""
"C - Enhancement","C4","Enhancement","Should the AI be PROACTIVE, and where should output land?","Scheduled morning brief at shift start | Anomaly-triggered plain-English alert | 3-day trend-watch digest | Land in: app/Slack/email?","reactive only","","",""
"C - Enhancement","C5","Enhancement","Is vision a real need or a demo nicety?","Read nameplate photo -> fill catalog | Read gauge/HMI panel photo | Critique pasted trend screenshot","vision endpoint exists","","",""
"C - Enhancement","C6","Enhancement","Do we commit to a thumbs-up/down feedback loop now?","Yes -> capture verdicts for learning loop + future fine-tune | Failed answers become eval cases | Not yet","not built","","",""
"C - Enhancement","C7","Enhancement","Which delivery surfaces do operators and management want?","Web app only (current) | Slack/Teams brief+alerts | Weekly management PDF by email","web app only","","",""
